,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
4410,32.08,12.8,5.77,0.71,6.4799999999999995,1.6008782873396874,1.0532812178564082,0.25097868638538495,0.018159496649444985,0.26913818303482995,2.9232976882309254,54.762752824823714,36.03058361441855,9.206663560757738,5.0,9.48,0.0,164.0,0.1410437235543018,0.1973848588323478,0.0,2.687819588304707,2.687819588304707,3.0262481706913564,4.660679349442776,6.522428026358941,88.81689262419827,31272,418,181.0,7.95,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-10-18
4426,25.28,6.08,4.19,1.63,5.82,1.2615399970058385,0.5003085784817939,0.1822531535450196,0.0416901120261906,0.22394326557121022,1.9857918410588424,63.52831001325767,25.19441202936078,11.277277957381557,3.0,14.89,0.0,113.0,0.0846262341325811,0.31002748396768554,0.0,1.8519732529172677,1.8519732529172677,2.2466269710175344,3.766812881012128,13.799686728912944,82.43350039007493,31297,418,123.0,7.48,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-09-18
4427,33.6,12.39,6.45,0.82,7.2700000000000005,1.6767303757672538,1.019543303846945,0.2805567638103523,0.020972939792316743,0.30152970360266906,2.997803383216868,55.93196622414898,34.009678872031245,10.05835490381978,6.0,11.47,0.0,171.0,0.1692524682651622,0.23881902223702842,0.0,2.8025435951225908,2.8025435951225908,3.2106150856247813,5.271652432674778,7.43841961331078,87.28992795401446,31298,418,186.0,7.6,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-09-18
4428,21.6,7.29,4.02,1.06,5.08,1.0778980987075204,0.5998765686072824,0.17485863418877773,0.027111361194946035,0.20196999538372376,1.8797446626985266,57.34279341749053,31.912662422252115,10.744544160257352,5.0,6.0,0.0,108.0,0.1410437235543018,0.1249271258432581,0.0,1.7700275337616362,1.7700275337616362,2.035998383159196,6.927496835014604,6.13591478640629,86.9365883785791,31299,418,120.0,7.65,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-09-18
4433,16.0,2.9,6.3,1.9,8.2,0.7984430360796446,0.23863402592059246,0.274032187907786,0.04859583610414855,0.3226280240119345,1.3597050860121715,58.72178050178282,17.550425336752493,23.727794161464693,7.7,4.0,0.0,62.3,0.21720733427362482,0.08328475056217206,0.0,1.0210436606791662,1.0210436606791662,1.321535745514963,16.43597874751285,6.302118640742364,77.26190261174479,31319,420,,7.9,India,23,Madhya Pradesh,Panna,2018,MADLA,24.73333333,80.2,2022-08-18
4438,27.36,5.47,7.7,2.8,10.5,1.3653375916961923,0.4501131454433244,0.3349282296650718,0.07161491636400838,0.40654314602908015,2.221993883168597,61.44650541293122,20.257173021622197,18.296321565446593,9.9,10.6,0.0,107.56,0.27926657263751764,0.22070458898975598,0.0,1.762816310475941,1.762816310475941,2.2627874721032146,12.341705797846984,9.753659665819857,77.90463453633315,31328,420,,8.25,India,23,Madhya Pradesh,Panna,2018,MADLA,24.73333333,80.2,2022-12-18
4441,32.0,2.9,9.3,2.2,11.5,1.5968860721592892,0.23863402592059246,0.4045237059591127,0.05626886285743517,0.46079256881654784,2.2963126668964295,69.54131705058933,10.392052848931812,20.066630100478864,9.8,3.4,0.0,138.17,0.2764456981664316,0.07079203797784625,0.0,2.2644880031467154,2.2644880031467154,2.611725739290993,10.584790508726178,2.7105463989899725,86.70466309228385,31337,420,,8.0,India,23,Madhya Pradesh,Panna,2018,MADLA,24.73333333,80.2,2022-02-18
4445,32.0,10.6,9.2,2.3,11.5,1.5968860721592892,0.8722485085373379,0.4001739886907351,0.05882653844186403,0.45900052713259915,2.928135107829226,54.5359422756671,29.788533534710414,15.675524189622498,9.8,35.8,0.0,140.3,0.2764456981664316,0.7453985175314399,0.0,2.299396879507015,2.299396879507015,3.3212410952048863,8.3235661080298,22.44337270810075,69.23306118386947,31347,420,,8.1,India,23,Madhya Pradesh,Panna,2018,MADLA,24.73333333,80.2,2022-01-18
4451,21.4,8.9,27.8,3.3,31.1,1.0679175607565246,0.7323595967907838,1.2092214006089606,0.08440329428615274,1.2936246948951133,3.0939018524424218,34.51685320636391,23.67106752958684,41.812079264049245,21.3,23.76,15.79,107.65,0.6008462623413258,0.4947114183393021,0.5262631649113451,1.7642913334207422,2.2905544983320874,3.386112179012715,17.744428730548254,14.610012668970246,67.64555860048151,31357,420,,8.55,India,23,Madhya Pradesh,Panna,2018,MADLA,24.73333333,80.2,2022-07-18
4456,30.4,13.4,21.8,3.0,24.8,1.5170417685513247,1.1026537749434273,0.9482383645063072,0.07673026753286613,1.0249686320391733,3.6446641755339253,41.623636513207295,30.253919753303304,28.122443733489394,21.3,7.8,10.08,134.25,0.6008462623413258,0.16240526359623553,0.335955205972537,2.200242559328701,2.536197765301238,3.2994492912387994,18.21050148995423,4.922193046805681,76.86730546324009,31366,420,,8.35,India,23,Madhya Pradesh,Panna,2018,MADLA,24.73333333,80.2,2022-06-18
