ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
134990,India,28,Andhra Pradesh,502,Anantapur,2012,Tanakal1,13.92083333,78.1875,,,,,,,,,,,,,,,,,,,,,,,No
134991,India,28,Andhra Pradesh,502,Anantapur,2012,Tanakal (alt),13.92083333,78.1875,,,,,,,,,,,,,,,,,,,,,,,No
134992,India,28,Andhra Pradesh,502,Anantapur,2012,Tangdikunta-DW13,14.00833333,78.025,,,,,,,,,,,,,,,,,,,,,,,No
134993,India,28,Andhra Pradesh,502,Anantapur,2012,Uravakonda-DW14,14.96666667,77.25416667,,,,,,,,,,,,,,,,,,,,,,,No
134994,India,28,Andhra Pradesh,502,Anantapur,2012,Vajrakarur,15.00833333,77.41666667,,,,156,2046,0.67,,,,,82,,,,0,,,,,,,7.72,No
134995,India,28,Andhra Pradesh,502,Anantapur,2012,Waddipalli,14.67166667,77.45833333,,,,142,1213,0.31,,,,,182,,,,0,,,,,,,7.52,No
134996,India,28,Andhra Pradesh,502,Anantapur,2012,Wadiyampeta,14.75277778,77.60277778,,,,,,,,,,,,,,,,,,,,,,,No
134997,India,28,Andhra Pradesh,502,Anantapur,2013,Adivi Brahmanapalli,14.35333333,78.0375,,,28,142,1621,1.91,,506,3,76.62,184,220,,,1.18,4.88,84,,385,414.8,,7.98,No
134998,India,28,Andhra Pradesh,502,Anantapur,2013,Alampur,14.19166667,78.16388889,,,20,181,1370,3.4,,415,3,42.57,,210,,,4.6,6.09,75,,225,340.2,,8.18,No
134999,India,28,Andhra Pradesh,502,Anantapur,2013,Amidala,14.84166667,77.25,,,116,202,1690,0.17,,232,140,36.61,226,70,,,,1.45,80,,440,190.2,,7.48,No
135000,India,28,Andhra Pradesh,502,Anantapur,2013,Anantapur-alt-1,14.675,77.60833333,,,,,,,,,,,,,,,,,,,,,,,No
135001,India,28,Andhra Pradesh,502,Anantapur,2013,Batrepally 2013DW,14.25083333,78.18027778,,,32,163,1373,1.6,,378,14,46.23,23,185,,,1.6,4.9,118,,270,309.8,,8,No
