ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
143149,India,28,Andhra Pradesh,523,West Godavari,2011,Attili1,16.68333333,81.63333333,,,,,,,,,,,,,,,,,,,,,,,No
143150,India,28,Andhra Pradesh,523,West Godavari,2011,Attili-B,16.68055556,81.63055556,,,224,582,4332,0.56,,1122,352,107.26,220,328,,,,6.38,234,,1000,919.6,,16.28,No
143151,India,28,Andhra Pradesh,523,West Godavari,2011,Bhimavaram,16.53166667,81.52333333,,,304,148,2510,0.66,,122,58,53.86,62,90,,,,1.76,850,,980,100,,15.3,No
143152,India,28,Andhra Pradesh,523,West Godavari,2011,Brahmanacheruvu,16.63333333,81.70833333,,,256,1220,6512,0.64,,1024,12,214.76,,790,,,,12.46,660,,1522,839.4,,14.86,No
143153,India,28,Andhra Pradesh,523,West Godavari,2011,Buttayagudem-DW14,17.19888889,81.31888889,,,,,,,,,,,,,,,,,,,,,,,No
143154,India,28,Andhra Pradesh,523,West Godavari,2011,Chebrolu 2013DW,16.82361111,81.39166667,,,,,,,,,,,,,,,,,,,,,,,No
143155,India,28,Andhra Pradesh,523,West Godavari,2011,Cherukuwada-DW14,16.58638889,81.41666667,,,,,,,,,,,,,,,,,,,,,,,No
143156,India,28,Andhra Pradesh,523,West Godavari,2011,Chintalapudi,17.06861111,80.98972222,,,,,,,,,,,,,,,,,,,,,,,No
143157,India,28,Andhra Pradesh,523,West Godavari,2011,Chityala-DW14,17.09305556,81.59388889,,,,,,,,,,,,,,,,,,,,,,,No
143158,India,28,Andhra Pradesh,523,West Godavari,2011,Devarapalle,17.02777778,81.55694444,,,,,,,,,,,,,,,,,,,,,,,No
143159,India,28,Andhra Pradesh,523,West Godavari,2011,Dharmajigudem,16.90944444,80.99777778,,,,,,,,,,,,,,,,,,,,,,,No
143160,India,28,Andhra Pradesh,523,West Godavari,2011,Dharmajigudem1,16.90944444,80.99805556,,,128,710,4400,4.4,,1268,4,253.5,32,382,,,,6.36,126,,1362,1039.4,,15.94,No
143161,India,28,Andhra Pradesh,523,West Godavari,2011,Dondapudi-DW14,17.21055556,81.54833333,,,,,,,,,,,,,,,,,,,,,,,No
143162,India,28,Andhra Pradesh,523,West Godavari,2011,Eluru-DW13,16.71083333,81.11055556,,,,,,,,,,,,,,,,,,,,,,,No
143163,India,28,Andhra Pradesh,523,West Godavari,2011,Eluru(Postal colony)-DW14,16.70416667,81.085,,,,,,,,,,,,,,,,,,,,,,,No
143164,India,28,Andhra Pradesh,523,West Godavari,2011,Eluru - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143165,India,28,Andhra Pradesh,523,West Godavari,2011,Erraguntlapalli,17.00222222,81.00833333,,,156,230,1960,0.42,,622,130,38.12,64,126,,,,3.32,88,,546,509.8,,14.92,No
143166,India,28,Andhra Pradesh,523,West Godavari,2011,Garagaparru,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143167,India,28,Andhra Pradesh,523,West Godavari,2011,Gollagudem,16.86972222,81.36833333,,,,,,,,,,,,,,,,,,,,,,,No
143168,India,28,Andhra Pradesh,523,West Godavari,2011,Gopalpuram,17.1,81.55,,,304,382,2960,1.42,,1074,72,39.28,68,214,,,,4.34,4,,920,880.4,,15.46,No
143169,India,28,Andhra Pradesh,523,West Godavari,2011,Goparam-DW13,16.91472222,81.6975,,,,,,,,,,,,,,,,,,,,,,,No
143170,India,28,Andhra Pradesh,523,West Godavari,2011,Gopinadhapatnam - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143171,India,28,Andhra Pradesh,523,West Godavari,2011,Gowrabalu-DW13,16.69833333,81.63111111,,,,,,,,,,,,,,,,,,,,,,,No
143172,India,28,Andhra Pradesh,523,West Godavari,2011,Gudigudem,17.15,81.51666667,,,,,,,,,,,,,,,,,,,,,,,No
143173,India,28,Andhra Pradesh,523,West Godavari,2011,Gundugolanu,16.77916667,81.22916667,,,,,,,,,,,,,,,,,,,,,,,No
143174,India,28,Andhra Pradesh,523,West Godavari,2011,Gunjavaram,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143175,India,28,Andhra Pradesh,523,West Godavari,2011,Gutala-DW13,17.23444444,81.63833333,,,,,,,,,,,,,,,,,,,,,,,No
143176,India,28,Andhra Pradesh,523,West Godavari,2011,Ipangadi,17.01694444,81.65166667,,,,,,,,,,,,,,,,,,,,,,,No
143177,India,28,Andhra Pradesh,523,West Godavari,2011,Itikalakota1,17.25,81.6,,,,,,,,,,,,,,,,,,,,,,,No
143178,India,28,Andhra Pradesh,523,West Godavari,2011,Janampeta,16.81111111,81.04583333,,,,,,,,,,,,,,,,,,,,,,,No
143179,India,28,Andhra Pradesh,523,West Godavari,2011,Jangareddigudem-1,17.12222222,81.30583333,,,256,680,3740,1.88,,684,122,53.8,286,392,,,,8.22,108,,860,560.6,,14.22,No
143180,India,28,Andhra Pradesh,523,West Godavari,2011,Jangareddygudem,17.12222222,81.30583333,,,,,,,,,,,,,,,,,,,,,,,No
143181,India,28,Andhra Pradesh,523,West Godavari,2011,Kaikaram - Pz 1,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143182,India,28,Andhra Pradesh,523,West Godavari,2011,Kaikaram - Pz 2,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143183,India,28,Andhra Pradesh,523,West Godavari,2011,Kamavarapukota,17.00833333,81.20833333,,,,,,,,,,,,,,,,,,,,,,,No
143184,India,28,Andhra Pradesh,523,West Godavari,2011,Kamavarapukota1,17.00805556,81.20805556,,,152,426,3130,1,,854,242,107.16,220,202,,,,4.34,82,,820,700,,15.18,No
143185,India,28,Andhra Pradesh,523,West Godavari,2011,Kanapuram,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143186,India,28,Andhra Pradesh,523,West Godavari,2011,K.bhetipudi,16.46666667,81.63333333,,,304,9132,31900,0.88,,1610,486,647.58,1080,5474,,,,57.56,836,,3422,1319.6,,15.8,No
143187,India,28,Andhra Pradesh,523,West Godavari,2011,Kovvur,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143188,India,28,Andhra Pradesh,523,West Godavari,2011,Kovvuru1,17.00833333,81.72222222,,,,,,,,,,,,,,,,,,,,,,,No
143189,India,28,Andhra Pradesh,523,West Godavari,2011,Koyyalagudem,17.13333333,81.28333333,,,,,,,,,,,,,,,,,,,,,,,No
143190,India,28,Andhra Pradesh,523,West Godavari,2011,Koyyalagudem DW12,17.13333333,81.28333333,,,,,,,,,,,,,,,,,,,,,,,No
143191,India,28,Andhra Pradesh,523,West Godavari,2011,Kummarapurugu 2013DW,16.36666667,81.62222222,,,,,,,,,,,,,,,,,,,,,,,No
143192,India,28,Andhra Pradesh,523,West Godavari,2011,Lakshmipuram(Timmapuram),0,0,,,,,,,,,,,,,,,,,,,,,,,No
143193,India,28,Andhra Pradesh,523,West Godavari,2011,Lingapalem,16.94166667,80.99166667,,,,,,,,,,,,,,,,,,,,,,,No
143194,India,28,Andhra Pradesh,523,West Godavari,2011,Marlagudem,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143195,India,28,Andhra Pradesh,523,West Godavari,2011,Marteru-DW13,16.62555556,81.73888889,,,,,,,,,,,,,,,,,,,,,,,No
143196,India,28,Andhra Pradesh,523,West Godavari,2011,Mogalturu-DW13,16.41333333,81.61416667,,,,,,,,,,,,,,,,,,,,,,,No
143197,India,28,Andhra Pradesh,523,West Godavari,2011,Munipalli,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143198,India,28,Andhra Pradesh,523,West Godavari,2011,Munipalli-DW13,16.85583333,81.71361111,,,,,,,,,,,,,,,,,,,,,,,No
143199,India,28,Andhra Pradesh,523,West Godavari,2011,Nadipalli,16.86666667,81.01666667,,,172,242,2080,1.52,,794,52,58.56,58,138,,,,3.28,2,,670,650.8,,15.74,No
143200,India,28,Andhra Pradesh,523,West Godavari,2011,Nallajerla,16.97777778,81.40861111,,,,,,,,,,,,,,,,,,,,,,,No
143201,India,28,Andhra Pradesh,523,West Godavari,2011,Narsapuram,16.43694444,81.70222222,,,94,42,1090,0.36,,550,34,13.48,2,98,,,6.44,3.54,30,,290,450.8,,16.08,No
143202,India,28,Andhra Pradesh,523,West Godavari,2011,Narsimhapuram-DW14,16.55833333,81.50194444,,,,,,,,,,,,,,,,,,,,,,,No
143203,India,28,Andhra Pradesh,523,West Godavari,2011,Nidadavolu,16.91666667,81.66805556,,,232,426,2560,0.54,,806,64,53.78,4,180,,,,3.92,16,,800,660.6,,16.4,No
143204,India,28,Andhra Pradesh,523,West Godavari,2011,Palakol-DW14,16.50944444,81.71972222,,,,,,,,,,,,,,,,,,,,,,,No
143205,India,28,Andhra Pradesh,523,West Godavari,2011,Pamulaparu-DW14,16.63222222,81.46722222,,,,,,,,,,,,,,,,,,,,,,,No
143206,India,28,Andhra Pradesh,523,West Godavari,2011,Pentapadu-DW14,16.78583333,81.52638889,,,,,,,,,,,,,,,,,,,,,,,No
143207,India,28,Andhra Pradesh,523,West Godavari,2011,Penumandra-DW13,16.64583333,81.64861111,,,,,,,,,,,,,,,,,,,,,,,No
143208,India,28,Andhra Pradesh,523,West Godavari,2011,Penumantra,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143209,India,28,Andhra Pradesh,523,West Godavari,2011,Perupalem 2013DW,16.37222222,81.59166667,,,,,,,,,,,,,,,,,,,,,,,No
143210,India,28,Andhra Pradesh,523,West Godavari,2011,Pipara,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143211,India,28,Andhra Pradesh,523,West Godavari,2011,Polamuru-DW13,16.5675,81.72805556,,,,,,,,,,,,,,,,,,,,,,,No
143212,India,28,Andhra Pradesh,523,West Godavari,2011,Polavaram,17.26527778,81.31861111,,,,,,,,,,,,,,,,,,,,,,,No
143213,India,28,Andhra Pradesh,523,West Godavari,2011,Polavaram-alt,17.25277778,81.31944444,,,120,290,2640,0.44,,952,68,90.1,130,256,,,4.4,6.08,16,,670,780.4,,14.4,No
143214,India,28,Andhra Pradesh,523,West Godavari,2011,Potavaram,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143215,India,28,Andhra Pradesh,523,West Godavari,2011,Pottalakatttugudem-DW13,17.0725,81.25805556,,,,,,,,,,,,,,,,,,,,,,,No
143216,India,28,Andhra Pradesh,523,West Godavari,2011,Pragadavaram,17.02666667,81.02833333,,,384,1220,5640,1.24,,684,202,141.96,200,464,,,,7.26,356,,1542,560.6,,16.2,No
143217,India,28,Andhra Pradesh,523,West Godavari,2011,Rachuru 2013DW,16.775,81.42361111,,,,,,,,,,,,,,,,,,,,,,,No
143218,India,28,Andhra Pradesh,523,West Godavari,2011,Recharla - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143219,India,28,Andhra Pradesh,523,West Godavari,2011,Relangi-DW13,16.70416667,81.64638889,,,,,,,,,,,,,,,,,,,,,,,No
143220,India,28,Andhra Pradesh,523,West Godavari,2011,Sarepalle-DW14,16.68861111,81.46555556,,,,,,,,,,,,,,,,,,,,,,,No
143221,India,28,Andhra Pradesh,523,West Godavari,2011,Surappagudem 2013DW,16.80805556,81.24166667,,,,,,,,,,,,,,,,,,,,,,,No
143222,India,28,Andhra Pradesh,523,West Godavari,2011,Tadepalligudem-DW13,16.80666667,81.5375,,,,,,,,,,,,,,,,,,,,,,,No
143223,India,28,Andhra Pradesh,523,West Godavari,2011,Tadikalapudi-PZ,16.9,81.18333333,,,52,242,2700,2.8,,1220,12,85.16,6,392,,,20.8,11,6,,480,1000,,16.26,No
143224,India,28,Andhra Pradesh,523,West Godavari,2011,Tadipudi,17.15,81.65,,,,,,,,,,,,,,,,,,,,,,,No
143225,India,28,Andhra Pradesh,523,West Godavari,2011,Tadipudi1,17.15138889,81.65055556,,,102,178,2360,1.02,,1110,28,57.26,10,300,,,16.8,8.34,12,,490,909.8,,15.44,No
143226,India,28,Andhra Pradesh,523,West Godavari,2011,Tallapudi-DW13,17.12694444,81.66083333,,,,,,,,,,,,,,,,,,,,,,,No
143227,India,28,Andhra Pradesh,523,West Godavari,2011,Undi,16.61666667,81.5,,,116,262,1852,0.46,,658,18,47.8,4,190,,,2.12,5.3,12,,486,539.4,,16.4,No
143228,India,28,Andhra Pradesh,523,West Godavari,2011,Undrajavaram 2013DW,16.7875,81.69722222,,,,,,,,,,,,,,,,,,,,,,,No
143229,India,28,Andhra Pradesh,523,West Godavari,2011,Valagalapalli,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143230,India,28,Andhra Pradesh,523,West Godavari,2011,Vedangi,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143231,India,28,Andhra Pradesh,523,West Godavari,2011,Veeravasaram,16.53333333,81.65,,,240,1304,5740,0.56,,1074,38,112.14,8,808,,,,15.26,134,,1060,880.4,,16.24,No
143232,India,28,Andhra Pradesh,523,West Godavari,2011,Vegeswarapuram,17.11083333,81.67388889,,,,,,,,,,,,,,,,,,,,,,,No
143233,India,28,Andhra Pradesh,523,West Godavari,2011,Vijayrai-DW13,16.80944444,81.04083333,,,,,,,,,,,,,,,,,,,,,,,No
143234,India,28,Andhra Pradesh,523,West Godavari,2011,Vissakoduru 2013DW,16.55,81.56388889,,,,,,,,,,,,,,,,,,,,,,,No
143235,India,28,Andhra Pradesh,523,West Godavari,2012,Akiveedu-DW14,16.58277778,81.38888889,,,,,,,,,,,,,,,,,,,,,,,No
143236,India,28,Andhra Pradesh,523,West Godavari,2012,Akiveedu - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143237,India,28,Andhra Pradesh,523,West Godavari,2012,Arikereuula-DW-13,17.05166667,81.71972222,,,,,,,,,,,,,,,,,,,,,,,No
143238,India,28,Andhra Pradesh,523,West Godavari,2012,Attili,16.68333333,81.63333333,,,,,,,,,,,,,,,,,,,,,,,No
143239,India,28,Andhra Pradesh,523,West Godavari,2012,Attili1,16.68333333,81.63333333,,,,,,,,,,,,,,,,,,,,,,,No
143240,India,28,Andhra Pradesh,523,West Godavari,2012,Attili-B,16.68055556,81.63055556,,,,256,2164,0.4,,,,,80,,,,0,,,,,,,15.66,No
143241,India,28,Andhra Pradesh,523,West Godavari,2012,Bhimavaram,16.53166667,81.52333333,,,,1418,6104,0.3,,,,,28,,,,0,,,,,,,14.88,No
143242,India,28,Andhra Pradesh,523,West Godavari,2012,Brahmanacheruvu,16.63333333,81.70833333,,,,226,2502,0.08,,,,,224,,,,0,,,,,,,16.16,No
143243,India,28,Andhra Pradesh,523,West Godavari,2012,Buttayagudem-DW14,17.19888889,81.31888889,,,,,,,,,,,,,,,,,,,,,,,No
143244,India,28,Andhra Pradesh,523,West Godavari,2012,Chebrolu 2013DW,16.82361111,81.39166667,,,,,,,,,,,,,,,,,,,,,,,No
143245,India,28,Andhra Pradesh,523,West Godavari,2012,Cherukuwada-DW14,16.58638889,81.41666667,,,,,,,,,,,,,,,,,,,,,,,No
143246,India,28,Andhra Pradesh,523,West Godavari,2012,Chintalapudi,17.06861111,80.98972222,,,,,,,,,,,,,,,,,,,,,,,No
143247,India,28,Andhra Pradesh,523,West Godavari,2012,Chityala-DW14,17.09305556,81.59388889,,,,,,,,,,,,,,,,,,,,,,,No
143248,India,28,Andhra Pradesh,523,West Godavari,2012,Devarapalle,17.02777778,81.55694444,,,,,,,,,,,,,,,,,,,,,,,No
143249,India,28,Andhra Pradesh,523,West Godavari,2012,Dharmajigudem,16.90944444,80.99777778,,,,426,2872,0.96,,,,,116,,,,0,,,,,,,16.12,No
143250,India,28,Andhra Pradesh,523,West Godavari,2012,Dharmajigudem1,16.90944444,80.99805556,,,,,,,,,,,,,,,,,,,,,,,No
143251,India,28,Andhra Pradesh,523,West Godavari,2012,Dondapudi-DW14,17.21055556,81.54833333,,,,,,,,,,,,,,,,,,,,,,,No
143252,India,28,Andhra Pradesh,523,West Godavari,2012,Eluru-DW13,16.71083333,81.11055556,,,,,,,,,,,,,,,,,,,,,,,No
143253,India,28,Andhra Pradesh,523,West Godavari,2012,Eluru(Postal colony)-DW14,16.70416667,81.085,,,,,,,,,,,,,,,,,,,,,,,No
143254,India,28,Andhra Pradesh,523,West Godavari,2012,Eluru - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143255,India,28,Andhra Pradesh,523,West Godavari,2012,Erraguntlapalli,17.00222222,81.00833333,,,,284,2566,2.6,,,,,52,,,,0,,,,,,,16.42,No
143256,India,28,Andhra Pradesh,523,West Godavari,2012,Garagaparru,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143257,India,28,Andhra Pradesh,523,West Godavari,2012,Gollagudem,16.86972222,81.36833333,,,,,,,,,,,,,,,,,,,,,,,No
143258,India,28,Andhra Pradesh,523,West Godavari,2012,Gopalpuram,17.1,81.55,,,,312,2004,0.8,,,,,40,,,,0,,,,,,,16.22,No
143259,India,28,Andhra Pradesh,523,West Godavari,2012,Goparam-DW13,16.91472222,81.6975,,,,,,,,,,,,,,,,,,,,,,,No
143260,India,28,Andhra Pradesh,523,West Godavari,2012,Gopinadhapatnam - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143261,India,28,Andhra Pradesh,523,West Godavari,2012,Gowrabalu-DW13,16.69833333,81.63111111,,,,,,,,,,,,,,,,,,,,,,,No
143262,India,28,Andhra Pradesh,523,West Godavari,2012,Gudigudem,17.15,81.51666667,,,,426,2878,0.66,,,,,244,,,,0,,,,,,,16.24,No
143263,India,28,Andhra Pradesh,523,West Godavari,2012,Gundugolanu,16.77916667,81.22916667,,,,,,,,,,,,,,,,,,,,,,,No
143264,India,28,Andhra Pradesh,523,West Godavari,2012,Gunjavaram,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143265,India,28,Andhra Pradesh,523,West Godavari,2012,Gutala-DW13,17.23444444,81.63833333,,,,,,,,,,,,,,,,,,,,,,,No
143266,India,28,Andhra Pradesh,523,West Godavari,2012,Ipangadi,17.01694444,81.65166667,,,,,,,,,,,,,,,,,,,,,,,No
143267,India,28,Andhra Pradesh,523,West Godavari,2012,Itikalakota1,17.25,81.6,,,,,,,,,,,,,,,,,,,,,,,No
143268,India,28,Andhra Pradesh,523,West Godavari,2012,Janampeta,16.81111111,81.04583333,,,,,,,,,,,,,,,,,,,,,,,No
143269,India,28,Andhra Pradesh,523,West Godavari,2012,Jangareddigudem-1,17.12222222,81.30583333,,,,,,,,,,,,,,,,,,,,,,,No
143270,India,28,Andhra Pradesh,523,West Godavari,2012,Jangareddygudem,17.12222222,81.30583333,,,,284,1754,1.08,,,,,70,,,,0,,,,,,,16.44,No
143271,India,28,Andhra Pradesh,523,West Godavari,2012,Kaikaram - Pz 1,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143272,India,28,Andhra Pradesh,523,West Godavari,2012,Kaikaram - Pz 2,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143273,India,28,Andhra Pradesh,523,West Godavari,2012,Kamavarapukota,17.00833333,81.20833333,,,,,,,,,,,,,,,,,,,,,,,No
143274,India,28,Andhra Pradesh,523,West Godavari,2012,Kamavarapukota1,17.00805556,81.20805556,,,,156,1480,6.4,,,,,18,,,,0,,,,,,,16.06,No
143275,India,28,Andhra Pradesh,523,West Godavari,2012,Kanapuram,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143276,India,28,Andhra Pradesh,523,West Godavari,2012,K.bhetipudi,16.46666667,81.63333333,,,,,,,,,,,,,,,,,,,,,,,No
143277,India,28,Andhra Pradesh,523,West Godavari,2012,Kovvur,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143278,India,28,Andhra Pradesh,523,West Godavari,2012,Kovvuru1,17.00833333,81.72222222,,,,,,,,,,,,,,,,,,,,,,,No
143279,India,28,Andhra Pradesh,523,West Godavari,2012,Koyyalagudem,17.13333333,81.28333333,,,,,,,,,,,,,,,,,,,,,,,No
143280,India,28,Andhra Pradesh,523,West Godavari,2012,Koyyalagudem DW12,17.13333333,81.28333333,,,,,,,,,,,,,,,,,,,,,,,No
143281,India,28,Andhra Pradesh,523,West Godavari,2012,Kummarapurugu 2013DW,16.36666667,81.62222222,,,,,,,,,,,,,,,,,,,,,,,No
143282,India,28,Andhra Pradesh,523,West Godavari,2012,Lakshmipuram(Timmapuram),0,0,,,,,,,,,,,,,,,,,,,,,,,No
143283,India,28,Andhra Pradesh,523,West Godavari,2012,Lingapalem,16.94166667,80.99166667,,,,,,,,,,,,,,,,,,,,,,,No
143284,India,28,Andhra Pradesh,523,West Godavari,2012,Marlagudem,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143285,India,28,Andhra Pradesh,523,West Godavari,2012,Marteru-DW13,16.62555556,81.73888889,,,,,,,,,,,,,,,,,,,,,,,No
143286,India,28,Andhra Pradesh,523,West Godavari,2012,Mogalturu-DW13,16.41333333,81.61416667,,,,,,,,,,,,,,,,,,,,,,,No
143287,India,28,Andhra Pradesh,523,West Godavari,2012,Munipalli,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143288,India,28,Andhra Pradesh,523,West Godavari,2012,Munipalli-DW13,16.85583333,81.71361111,,,,,,,,,,,,,,,,,,,,,,,No
143289,India,28,Andhra Pradesh,523,West Godavari,2012,Nadipalli,16.86666667,81.01666667,,,,312,2412,3.8,,,,,52,,,,0,,,,,,,16,No
143290,India,28,Andhra Pradesh,523,West Godavari,2012,Nallajerla,16.97777778,81.40861111,,,,,,,,,,,,,,,,,,,,,,,No
143291,India,28,Andhra Pradesh,523,West Godavari,2012,Narsapuram,16.43694444,81.70222222,,,,2750,12288,0.22,,,,,28,,,,0,,,,,,,14.64,No
143292,India,28,Andhra Pradesh,523,West Godavari,2012,Narsimhapuram-DW14,16.55833333,81.50194444,,,,,,,,,,,,,,,,,,,,,,,No
143293,India,28,Andhra Pradesh,523,West Godavari,2012,Nidadavolu,16.91666667,81.66805556,,,,128,1356,1.12,,,,,36,,,,0,,,,,,,15.94,No
143294,India,28,Andhra Pradesh,523,West Godavari,2012,Palakol-DW14,16.50944444,81.71972222,,,,,,,,,,,,,,,,,,,,,,,No
143295,India,28,Andhra Pradesh,523,West Godavari,2012,Pamulaparu-DW14,16.63222222,81.46722222,,,,,,,,,,,,,,,,,,,,,,,No
143296,India,28,Andhra Pradesh,523,West Godavari,2012,Pentapadu-DW14,16.78583333,81.52638889,,,,,,,,,,,,,,,,,,,,,,,No
143297,India,28,Andhra Pradesh,523,West Godavari,2012,Penumandra-DW13,16.64583333,81.64861111,,,,,,,,,,,,,,,,,,,,,,,No
143298,India,28,Andhra Pradesh,523,West Godavari,2012,Penumantra,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143299,India,28,Andhra Pradesh,523,West Godavari,2012,Perupalem 2013DW,16.37222222,81.59166667,,,,,,,,,,,,,,,,,,,,,,,No
143300,India,28,Andhra Pradesh,523,West Godavari,2012,Pipara,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143301,India,28,Andhra Pradesh,523,West Godavari,2012,Polamuru-DW13,16.5675,81.72805556,,,,,,,,,,,,,,,,,,,,,,,No
143302,India,28,Andhra Pradesh,523,West Godavari,2012,Polavaram,17.26527778,81.31861111,,,,680,3244,0.94,,,,,224,,,,0,,,,,,,15.48,No
143303,India,28,Andhra Pradesh,523,West Godavari,2012,Polavaram-alt,17.25277778,81.31944444,,,,,,,,,,,,,,,,,,,,,,,No
143304,India,28,Andhra Pradesh,523,West Godavari,2012,Potavaram,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143305,India,28,Andhra Pradesh,523,West Godavari,2012,Pottalakatttugudem-DW13,17.0725,81.25805556,,,,,,,,,,,,,,,,,,,,,,,No
143306,India,28,Andhra Pradesh,523,West Godavari,2012,Pragadavaram,17.02666667,81.02833333,,,,582,4274,5.8,,,,,72,,,,0,,,,,,,16.16,No
143307,India,28,Andhra Pradesh,523,West Godavari,2012,Rachuru 2013DW,16.775,81.42361111,,,,,,,,,,,,,,,,,,,,,,,No
143308,India,28,Andhra Pradesh,523,West Godavari,2012,Recharla - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143309,India,28,Andhra Pradesh,523,West Godavari,2012,Relangi-DW13,16.70416667,81.64638889,,,,,,,,,,,,,,,,,,,,,,,No
143310,India,28,Andhra Pradesh,523,West Godavari,2012,Sarepalle-DW14,16.68861111,81.46555556,,,,,,,,,,,,,,,,,,,,,,,No
143311,India,28,Andhra Pradesh,523,West Godavari,2012,Surappagudem 2013DW,16.80805556,81.24166667,,,,,,,,,,,,,,,,,,,,,,,No
143312,India,28,Andhra Pradesh,523,West Godavari,2012,Tadepalligudem-DW13,16.80666667,81.5375,,,,,,,,,,,,,,,,,,,,,,,No
143313,India,28,Andhra Pradesh,523,West Godavari,2012,Tadikalapudi-PZ,16.9,81.18333333,,,,,,,,,,,,,,,,,,,,,,,No
143314,India,28,Andhra Pradesh,523,West Godavari,2012,Tadipudi,17.15,81.65,,,,,,,,,,,,,,,,,,,,,,,No
143315,India,28,Andhra Pradesh,523,West Godavari,2012,Tadipudi1,17.15138889,81.65055556,,,,426,3158,0.32,,,,,176,,,,0,,,,,,,15.6,No
143316,India,28,Andhra Pradesh,523,West Godavari,2012,Tallapudi-DW13,17.12694444,81.66083333,,,,,,,,,,,,,,,,,,,,,,,No
143317,India,28,Andhra Pradesh,523,West Godavari,2012,Undi,16.61666667,81.5,,,,680,4742,0.06,,,,,240,,,,0,,,,,,,15.4,No
143318,India,28,Andhra Pradesh,523,West Godavari,2012,Undrajavaram 2013DW,16.7875,81.69722222,,,,,,,,,,,,,,,,,,,,,,,No
143319,India,28,Andhra Pradesh,523,West Godavari,2012,Valagalapalli,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143320,India,28,Andhra Pradesh,523,West Godavari,2012,Vedangi,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143321,India,28,Andhra Pradesh,523,West Godavari,2012,Veeravasaram,16.53333333,81.65,,,,170,2590,0.42,,,,,96,,,,0,,,,,,,15.48,No
143322,India,28,Andhra Pradesh,523,West Godavari,2012,Vegeswarapuram,17.11083333,81.67388889,,,,,,,,,,,,,,,,,,,,,,,No
143323,India,28,Andhra Pradesh,523,West Godavari,2012,Vijayrai-DW13,16.80944444,81.04083333,,,,,,,,,,,,,,,,,,,,,,,No
143324,India,28,Andhra Pradesh,523,West Godavari,2012,Vissakoduru 2013DW,16.55,81.56388889,,,,,,,,,,,,,,,,,,,,,,,No
143325,India,28,Andhra Pradesh,523,West Godavari,2013,Akiveedu-DW14,16.58277778,81.38888889,,,,,,,,,,,,,,,,,,,,,,,No
143326,India,28,Andhra Pradesh,523,West Godavari,2013,Akiveedu - Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
143327,India,28,Andhra Pradesh,523,West Godavari,2013,Arikereuula-DW-13,17.05166667,81.71972222,,,72,42,1672,0.38,,452,8,43.86,2,40,,,0.4,1.3,24,,360,370.6,,16.06,No
143328,India,28,Andhra Pradesh,523,West Godavari,2013,Attili,16.68333333,81.63333333,,,,,,,,,,,,,,,,,,,,,,,No
143329,India,28,Andhra Pradesh,523,West Godavari,2013,Attili1,16.68333333,81.63333333,,,,,,,,,,,,,,,,,,,,,,,No
