ROWID,Country,StateLGDCode,State,DistrictLGDCode,District,Year,OBJECTID *,OBJECTID *,Ground Water Station Name,y,x,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
135182,India,28,Andhra Pradesh,502,Anantapur,2015,1005,1222,Nilakanthapuram,13.916667,77.2, ,0,200,503,2920,0.58,0.01,622,10,22.12,98,393, , ,-3.22,7.04,155, ,590,509.84, ,7.3,No
135185,India,28,Andhra Pradesh,502,Anantapur,2015,1007,1225,Palaram 2013DW,13.956667,77.108333, ,0,64,82,1080,1.57,0.13,488,5,23.18,27,128, , ,5.8,3.49,3, ,255,400, ,7.33,No
135186,India,28,Andhra Pradesh,502,Anantapur,2015,1008,1226,Palasamudram,13.972778,77.731389, ,0,56,156,1320,0.4,0.01,476,100,21.95,22,139, , ,6.4,3.99,31, ,230,390.16, ,7.53,No
135189,India,28,Andhra Pradesh,502,Anantapur,2015,1011,1229,Pedapalli 2013DW,14.063889,77.774444, ,0,160,365,1830,0.9,0.42,329,10,54.9,9,127, , ,-14.22,2.21,118, ,625,269.67, ,7.03,No
135190,India,28,Andhra Pradesh,502,Anantapur,2015,1012,1230,Penukonda,14.072222,77.581667, ,0,136,411,2930,1.2,0.01,854,9,65.81,140,386, , ,3.6,6.8,69, ,610,700, ,7.3,No
135194,India,28,Andhra Pradesh,502,Anantapur,2015,1015,1234,Rayadurg-new,14.7,76.85, ,0,88,174,1300,0.33,0.03,262,10,24.42,169,145, , ,-4.22,3.53,52, ,320,214.75, ,7.1,No
135202,India,28,Andhra Pradesh,502,Anantapur,2015,1023,1242,Tangdikunta-DW13,14.008333,78.025, ,0,252,383,2580,0.37,0.03,561,86,46.5,142,165, , ,-14.42,2.51,167, ,820,459.84, ,7.73,No
135203,India,28,Andhra Pradesh,502,Anantapur,2015,1024,1243,Uravakonda-DW14,14.966667,77.254167, ,0,160,659,4160,0.26,0.14,756,450,5.06,200,497, , ,7.98,10.55,351, ,420,619.67, ,7.65,No
135204,India,28,Andhra Pradesh,502,Anantapur,2015,1025,1244,Vajrakarur,15.008333,77.416667, ,0,200,135,2130,0.86, ,342,2,78.05,75,111, , ,-21.6,1.69,511, ,820,280.33, ,7.44,No
135205,India,28,Andhra Pradesh,502,Anantapur,2015,1026,1245,Waddipalli,14.671667,77.458333, ,0,132,390,2820,1.33,0.02,683,34,97.41,228,292, , ,-6.82,4.7,111, ,730,559.84, ,7.67,No
135277,India,28,Andhra Pradesh,502,Anantapur,2017,1091,1317,Adivi Brahmanapalli,14.353333,78.0375, , ,108,319,2626,1.72, ,561,4,150.87,366,230, , ,-17.2,3.35,170, ,890,459.84, ,7.7,No
135278,India,28,Andhra Pradesh,502,Anantapur,2017,1092,1318,Alampur,14.191667,78.163889, , ,216,553,3069,2.54, ,702,12,112.1,3,260, , ,-16.98,3.58,200, ,1000,575.41, ,7.42,No
135279,India,28,Andhra Pradesh,502,Anantapur,2017,1093,1319,Amidala,14.841667,77.25, , ,248,248,2552,0.28, ,616,200,31.91,306,100, , ,-9.8,1.59,109, ,750,504.92, ,7.39,No
